,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
1575,5.0,landslide,downpour,1,unknown,US,9338.0,0.80216,-157.933,21.375,0.0
1585,5.0,landslide,downpour,2,unknown,IN,40283.0,1.22342,77.0969,30.9044,0.0
1594,1.0,landslide,rain,2,unknown,US,4763.0,1.31722,-122.7257,45.816,0.0
1601,25.0,landslide,rain,2,unknown,PH,0.0,0.6295,125.4137,6.8426,0.0
1608,25.0,landslide,rain,2,unknown,IN,43000.0,3.41647,88.4308,27.0713,0.0
1628,10.0,mudslide,downpour,2,unknown,US,3112.0,25.30277,-114.06,44.98,0.0
1629,1.0,mudslide,downpour,2,unknown,JP,3574443.0,0.05094,139.6421,35.4481,0.0
1635,50.0,landslide,downpour,2,unknown,IN,8160.0,5.11036,77.7241,31.1628,0.0
1653,5.0,landslide,downpour,2,unknown,MY,1453975.0,10.2372,101.7673,3.1857,0.0
1660,12.674393057233878,mudslide,downpour,3,above_road,CN,0.0,72.0353,101.0280474,30.0428659,0.0
1694,10.0,landslide,unknown,2,unknown,IN,33748.0,20.17679,94.7499,26.0977,0.0
1699,5.0,landslide,rain,2,unknown,US,1565.0,3.44031,-121.7725,36.8071,0.0
1701,5.0,mudslide,downpour,2,unknown,ZA,0.0,0.43096,18.66,-33.15,0.0
1708,1.0,landslide,rain,2,unknown,US,37234.0,3.78377,-122.4936,37.6475,0.0
1715,12.674393057233878,landslide,unknown,2,above_road,US,9695.0,0.66562,-124.224,43.4125,0.0
1721,5.0,landslide,monsoon,2,unknown,ID,0.0,9.93721,104.7045,-5.4589,0.0
1723,1.0,landslide,downpour,2,unknown,US,1137.0,24.56274,-116.6566,46.6007,0.0
1750,10.0,mudslide,rain,2,unknown,SI,7933.0,4.27253,15.0836,46.4719,0.0
1753,5.0,landslide,downpour,2,unknown,IN,1495.0,83.81164,78.071,32.2278,0.0
1766,25.0,landslide,downpour,2,unknown,PH,2936.0,6.92533,125.669611,7.743877992,0.0
1772,12.674393057233878,landslide,downpour,1,unknown,US,3191.0,2.20331,-82.26,37.66,0.0
1780,1.0,mudslide,downpour,1,unknown,US,17821.0,1.3407,-158.0336,21.505,0.0
1785,12.674393057233878,landslide,continuous_rain,2,unknown,IN,7331.0,36.77667,80.2386,30.0712,0.0
1786,5.0,landslide,continuous_rain,2,unknown,IN,17123.0,19.53038,78.6185,30.8203,0.0
1790,10.0,landslide,rain,2,unknown,IN,123797.0,2.88137,88.2548,27.0096,0.0
1811,1.0,landslide,downpour,2,above_road,US,1482.0,4.85999,-80.66727437,40.22156009,0.0
1817,25.0,landslide,rain,1,unknown,IN,515574.0,3.15411,88.4089,26.7324,0.0
1829,5.0,mudslide,tropical_cyclone,2,unknown,SV,7797.0,0.00273,-89.8486,13.8703,0.0
1842,25.0,landslide,downpour,2,unknown,SL,5460.0,2.56672,-13.2279,8.646,0.0
1845,10.0,landslide,rain,2,unknown,GB,1633.0,4.23473,0.9666,51.9565,0.0
1856,1.0,complex,downpour,1,unknown,US,20246.0,2.18697,-118.1936,34.2183,0.0
1859,25.0,landslide,downpour,2,unknown,CN,0.0,1.07747,110.6807,31.7501,0.0
1860,25.0,mudslide,downpour,2,unknown,CR,10028.0,1.85787,-83.678,9.35,0.0
1868,12.674393057233878,complex,monsoon,2,unknown,IN,40283.0,10.1903,77.12,31.0,0.0
1875,10.0,mudslide,downpour,1,unknown,US,51400.0,3.05313,-81.6,38.34,0.0
1876,5.0,landslide,tropical_cyclone,2,unknown,PH,10444527.0,0.73709,120.9762,14.601,0.0
1890,10.0,landslide,rain,1,unknown,FJ,77366.0,19.38803,178.4367,-17.9665,0.0
1894,5.0,landslide,rain,2,unknown,LK,4721.0,13.90279,80.8448,6.8196,0.0
1902,50.0,landslide,downpour,2,unknown,IN,28197.0,0.43376,74.0967,33.7705,0.0
1916,5.0,complex,rain,1,unknown,US,1144.0,3.71509,-121.9383,45.6706,0.0
1918,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,0.0,5.45203,120.7744,17.58,0.0
1921,5.0,landslide,downpour,2,unknown,TT,0.0,5.62092,-60.6234,11.2181,0.0
1923,25.0,mudslide,downpour,1,unknown,US,3068.0,32.15868,-105.135,37.5588,0.0
1937,5.0,mudslide,downpour,1,unknown,IE,1773.0,4.7207,-8.8776,52.801,0.0
1963,10.0,landslide,downpour,3,unknown,IN,24428.0,18.01926,95.8011,27.174,0.0
1969,5.0,landslide,flooding,2,unknown,GB,11812.0,0.51912,-2.0998,53.7187,0.0
1978,25.0,landslide,rain,2,unknown,NP,0.0,36.15885,83.2519,28.0764,0.0
1987,5.0,landslide,downpour,2,unknown,CA,9813.0,53.28492,-116.9155,49.9145,0.0
1990,25.0,landslide,rain,2,unknown,MM,126938.0,70.98718,94.4332,21.5332,0.0
2007,12.674393057233878,landslide,rain,2,unknown,PH,2276.0,6.20499,125.3731,11.8006,0.0
2012,12.674393057233878,landslide,downpour,2,unknown,IN,12659.0,2.55859,76.803,9.7285,0.0
2013,5.0,landslide,continuous_rain,2,unknown,IN,34021.0,7.70289,94.5808,26.284,0.0
2014,1.0,landslide,downpour,2,unknown,IN,899094.0,4.06526,91.7351,26.149,0.0
2020,10.0,landslide,rain,2,unknown,CO,65565.0,1.27637,-75.639,6.08,0.0
2025,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,5500.0,0.19527,122.4742,11.0551,0.0
2032,10.0,landslide,downpour,3,unknown,PH,2018.0,5.73107,125.0704,11.7148,0.0
2034,5.0,mudslide,downpour,1,unknown,US,1184.0,5.45124,-121.611,39.87,0.0
2039,25.0,landslide,rain,2,unknown,NP,23296.0,9.70301,83.6666,28.2168,0.0
2043,10.0,mudslide,downpour,3,unknown,IT,219948.0,0.52019,15.5555,38.1923,0.0
2051,1.0,landslide,downpour,2,urban,ID,8540121.0,6.22509,106.8416895,-6.250474027,0.0
2068,5.0,landslide,downpour,2,unknown,NP,9073.0,28.79246,82.1482,29.5326,0.0
2080,50.0,landslide,rain,3,unknown,KE,28547.0,0.74398,34.7716,-0.6772,0.0
2086,10.0,landslide,continuous_rain,2,unknown,PH,2196.0,12.48939,124.5528,12.1969,0.0
2087,10.0,landslide,tropical_cyclone,2,unknown,TW,0.0,25.42251,120.6976,23.4715,0.0
2088,5.0,mudslide,rain,2,unknown,US,1427.0,2.1294,-89.2025,41.2581,0.0
2101,25.0,landslide,rain,2,unknown,PH,6819.0,3.69902,121.1167,16.8333,0.0
2107,5.0,landslide,downpour,2,unknown,IN,98238.0,15.03611,76.5959,11.3192,0.0
